chr10	50799421	50885675	A1CF
chr10	26746593	26860935	ABI1
chr9	130713946	130885683	ABL1
chr1	179099327	179229601	ABL2
chr2	236569641	236582358	ACKR3
chr2	222860934	222944639	ACSL3
chr5	131949973	132011662	ACSL6
chr2	157736444	157875111	ACVR1
chr12	51951701	51994217	ACVR1B
chr2	147844517	147930824	ACVR2A
chr6	167827635	167970232	AFDN
chr4	86935002	87141054	AFF1
chr2	99551121	100106128	AFF3
chr5	132875379	132963634	AFF4
chr7	91940867	92110673	AKAP9
chr14	104769349	104794124	AKT1
chr19	40230317	40285395	AKT2
chr1	243499720	243843282	AKT3
chr12	111766922	111817529	ALDH2
chr2	29192774	29921566	ALK
chrX	64185117	64205744	AMER1
chr8	41653225	41896762	ANK1
chr5	112737888	112846239	APC
chr22	38982409	38992784	APOBEC3B
chrX	67544036	67730619	AR
chrX	47561100	47571920	ARAF
chr5	142770377	143229011	ARHGAP26
chr19	46918676	47005077	ARHGAP35
chr14	32077289	32159728	ARHGAP5
chr8	1824015	1958641	ARHGEF10
chr1	17539835	17697869	ARHGEF10L
chr11	120337078	120489936	ARHGEF12
chr1	26696033	26782110	ARID1A
chr6	156777374	157210779	ARID1B
chr12	45729665	45908040	ARID2
chr1	150809705	150876768	ARNT
chr1	197084128	197146694	ASPM
chr17	81977550	82017404	ASPSCR1
chr20	32358330	32439319	ASXL1
chr2	25741925	25780309	ASXL2
chr12	50764292	50821122	ATF1
chr2	215311817	215349763	ATIC
chr11	108222832	108369099	ATM
chr1	116373867	116404772	ATP1A1
chrX	153536122	153582929	ATP2B3
chr3	142449237	142578826	ATR
chrX	77504878	77786269	ATRX
chr16	287440	352659	AXIN1
chr17	65528563	65561647	AXIN2
chr15	44711477	44718877	B2M
chr3	52401013	52410350	BAP1
chr2	214725646	214809704	BARD1
chr19	48954929	48961798	BAX
chr14	34752737	34875647	BAZ1A
chr1	85266248	85277090	BCL10
chr2	60457192	60555154	BCL11A
chr14	99169287	99271228	BCL11B
chr18	63123346	63320128	BCL2
chr19	49665142	49673915	BCL2L12
chr19	44748547	44760044	BCL3
chr3	187721377	187745727	BCL6
chr12	122019422	122062044	BCL7A
chr1	147541412	147626216	BCL9
chr11	118893875	118910904	BCL9L
chr6	136256863	136289851	BCLAF1
chrX	40051248	40097403	BCOR
chrX	130005188	130058083	BCORL1
chr22	23180210	23318037	BCR
chr11	102317495	102337734	BIRC3
chr2	32357028	32618899	BIRC6
chr15	90717327	90816165	BLM
chr6	55753645	55875564	BMP5
chr10	86756650	86932838	BMPR1A
chr7	140730665	140924928	BRAF
chr17	43044295	43125483	BRCA1
chr13	32315474	32400266	BRCA2
chr9	134030305	134068017	BRD3
chr19	15235519	15280451	BRD4
chr17	61681266	61863521	BRIP1
chr12	92140278	92145897	BTG1
chr1	203305536	203309602	BTG2
chrX	101349447	101390796	BTK
chr15	40161026	40221136	BUB1B
chr15	55408548	55418712	C15orf65
chr3	53495049	53813733	CACNA1D
chr19	12938607	12944489	CALR
chr1	6785324	7769706	CAMTA1
chr17	78991717	79009817	CANT1
chr7	2906141	3043945	CARD11
chr11	3000922	3057437	CARS
chr4	184627696	184649475	CASP3
chr2	201258036	201287711	CASP8
chr1	15492270	15524295	CASP9
chr16	88874858	88977204	CBFA2T3
chr16	67029245	67101022	CBFB
chr11	119206276	119308149	CBL
chr3	105655461	105869043	CBLB
chr19	44777869	44800634	CBLC
chr10	59788763	59906656	CCDC6
chr14	20311368	20333312	CCNB1IP1
chr6	99542380	99568973	CCNC
chr11	69641087	69654474	CCND1
chr12	4273772	4305350	CCND2
chr6	41934933	41941848	CCND3
chr19	29811898	29824308	CCNE1
chr3	32951574	32956349	CCR4
chr17	40553769	40565472	CCR7
chr19	7739994	7747534	CD209
chr9	5450525	5470547	CD274
chr2	203706548	203738912	CD28
chr5	150402152	150412751	CD74
chr19	41877120	41881372	CD79A
chr17	63928740	63932336	CD79B
chr1	193122017	193253901	CDC73
chr16	68737225	68835548	CDH1
chr5	24487100	24644978	CDH10
chr16	64943753	65122198	CDH11
chr8	94127171	94208587	CDH17
chr17	39462039	39535146	CDK12
chr12	57747727	57752521	CDK4
chr7	92604921	92833917	CDK6
chr6	36678710	36687337	CDKN1A
chr12	12717124	12722371	CDKN1B
chr9	21968056	21974866	CDKN2A
chr1	50960745	50974633	CDKN2C
chr13	27962137	27971139	CDX2
chr19	33299934	33302564	CEBPA
chr19	32875925	32971963	CEP89
chr8	56211756	56218615	CHCHD7
chr15	92900320	93028005	CHD2
chr12	6570088	6607476	CHD4
chr22	28687763	28741838	CHEK2
chr4	54009789	54064690	CHIC2
chr12	104456973	104762014	CHST11
chr19	42284665	42295797	CIC
chr16	10877198	10924983	CIITA
chr12	122271434	122422569	CLIP1
chr11	57657158	57661868	CLP1
chr17	59619689	59696956	CLTC
chr22	19179473	19291714	CLTCL1
chr8	86866445	87382859	CNBD1
chr3	129170102	129183910	CNBP
chr19	54141396	54155680	CNOT3
chr7	146116359	148420998	CNTNAP2
chr9	121075012	121177608	CNTRL
chr17	50183289	50201632	COL1A1
chr12	47972965	48004486	COL2A1
chr2	188974320	189012746	COL3A1
chr8	99877866	99894062	COX6C
chr10	92048642	92243279	CPEB3
chr2	207529892	207603431	CREB1
chr11	46277661	46321422	CREB3L1
chr7	137874979	138002057	CREB3L2
chr16	3725054	3880726	CREBBP
chrX	1190490	1212750	CRLF2
chr20	20034368	20056046	CRNKL1
chr19	18683678	18782333	CRTC1
chr15	90530068	90642813	CRTC3
chr5	150053291	150113372	CSF1R
chr1	36466043	36483278	CSF3R
chr8	112222928	113437099	CSMD3
chr16	67562467	67639176	CTCF
chr5	138753423	138935034	CTNNA1
chr2	79651552	80648689	CTNNA2
chr3	41220551	41239888	CTNNB1
chr11	57761797	57819178	CTNND1
chr5	10971840	11904043	CTNND2
chr2	224470150	224585348	CUL3
chr7	101816011	102258233	CUX1
chr2	136114349	136116243	CXCR4
chr16	50742760	50801935	CYLD
chr10	95036773	95069497	CYP2C8
chr13	48706555	48711226	CYSLTR2
chr6	33318558	33323014	DAXX
chrX	126163499	126166097	DCAF12L2
chr18	52340172	53535899	DCC
chr2	74361154	74380355	DCTN1
chr11	47214942	47239240	DDB2
chr12	57516589	57520517	DDIT3
chr1	162632465	162787400	DDR2
chr11	108665025	108940930	DDX10
chrX	41333284	41351668	DDX3X
chr17	64499616	64506521	DDX5
chr11	118747766	118790948	DDX6
chr6	18223868	18264823	DEK
chr22	20080232	20111871	DGCR8
chr14	95086228	95158010	DICER1
chr19	14514770	14518420	DNAJB1
chr19	10718131	10831903	DNM2
chr2	25227855	25342590	DNMT3A
chr5	31400497	31532061	DROSHA
chr5	158695920	159099761	EBF1
chr6	138796111	138904070	ECT2L
chr11	86245223	86278813	EED
chr7	55019101	55211628	EGFR
chrX	20124518	20141844	EIF1AX
chr8	108201743	108248765	EIF3E
chr3	186783547	186789900	EIF4A2
chr1	202007945	202016009	ELF3
chrX	130064928	130110495	ELF4
chr1	205607943	205631962	ELK4
chr19	18442663	18522127	ELL
chr7	74027789	74069907	ELN
chr2	42169350	42332548	EML4
chr22	41091786	41180079	EP300
chr2	46297402	46386703	EPAS1
chr3	89107524	89482134	EPHA3
chr6	93240020	93419526	EPHA7
